位置,大小,价格,单位
荆州街五小四中高中部部陪读房，新房子3楼，家电家具齐全拎包入 景苑1区,3室2厅|120平米|4/6层崔贵波 合租 朝南,2800 ,元/月
铁路四院中房盛景对面和谐家园，干净清爽，采光好，家具家电齐全 和谐家园,2室2厅|98平米|12/22层杨正群 整租 南北,1500 ,元/月
家园旁边公寓，国际商都拎包入住 国际商都,1室1厅|40平米|3/3层彭军芳 整租 朝南,1000 ,元/月
鼓楼实验小学对面红花园2楼 2室 1700每月年付 花园公寓,2室2厅|70平米|2/7层汪亮 整租 南北,1700 ,元/月
单位院，停车方便，中间楼层，一居室出租 襄城公安分局家属院,1室1厅|50平米|3/6层陈月华 整租 南北,1500 ,元/月
单位院停车方便，中间楼层，家具家电齐全，有钥匙，随时看房 中房泰鑫公寓,1室1厅|50平米|3/6层陈月华 整租 南北,1500 ,元/月
有钥匙房 建安小区电梯房 家乐福对面 标准一室一厅 建安小区,1室1厅|56平米|1/21层庄开丹 整租 朝南,1300 ,元/月
鱼梁洲银杏家园1室1厅，精装修，2路车终点站。 银杏家园,1室1厅|65平米|6/6层王红梅 整租 南北,650 ,元/月
檀溪路檀溪新居小高层电梯房家具家电齐全，拎包入住！ 檀溪新居,3室2厅|125平米|3/11层杨贤 整租 南北,2000 ,元/月
恒大名都精装修4室2厅，适合办公，培训托管，家庭会馆等，一楼 恒大名都,4室2厅|160平米|1/23层万言 整租 南北,3500 ,元/月
41中附近 檀溪轴承厂好楼层2室2厅 南北通透 轴承厂家属区,2室2厅|65平米|5/6层钟敏 整租 南北,900 ,元/月
南苑小区2室-1厅-1卫整租 南苑小区,2室1厅|80平米|2/2层 整租 南北,1500 ,元/月
安厦好房 檀溪中路东方小区旁边襄南家属院 两室家具家电齐全 东方社区,2室2厅|105平米|3/8层李莉 整租 南北,1500 ,元/月
图书馆旁边租檀溪检察院家属院2室精装家具家电齐全， 山水檀溪明园,2室2厅|88平米|3/7层黄虹玲 整租 南北,1600 ,元/月
襄城区，鼓楼南街，党校家属院 党校家属院,2室2厅|98平米|5/7层樊雪玲 整租 南北,2500 ,元/月
檀溪路恒大对面，室内光线好，拎包入住，长租可以面议 檀溪府邸,2室2厅|83平米|17/24层彭军芳 整租 朝南,1500 ,元/月
四中高中部22旁 冯家巷单位院 中装1室 适宜陪读停车方便 市经信委冯家巷生活区,1室1厅|30平米|2/5层张庆锋 整租 南北,1500 ,元/月
檀溪中路暖气房 学府花园 精装2室 家具家电齐 可短租 学府花园,2室2厅|100平米|6/8层张庆锋 整租 南北,2000 ,元/月
鼓楼财局家属院 拎包入 住停车方便 中间楼层 民安公寓,2室2厅|85平米|1/7层黄虹玲 整租 南北,1700 ,元/月
中心医院 1室0厅1卫 暂无小区,1室0厅|35平米|1/3层袁女士 整租 南北,550 ,元/月
二桥头单位家属院一室一厅拎包入住 中房泰鑫公寓,1室1厅|55平米|2/3层李贵花 整租 南北,1500 ,元/月
鼓楼十字街南街红花园实验昭明附近3室出租保养地好 红心家园,3室2厅|130平米|1/6层吴莹 整租 南北,1700 ,元/月
滨江苑小区 3室2厅2卫 滨江苑小区,3室2厅|132平米|1/6层党女士 整租 朝南,2600 ,元/月
檀溪*3室-2厅-1卫整租 檀溪府邸,3室2厅|120平米|13/26层 整租 南北,2300 ,元/月
襄城檀溪山水天成精装修电梯江景房拎包入住 山水天成,3室2厅|128平米|22/26层王风 整租 南北,3000 ,元/月
襄城民主西路化工机械厂家属院两房两厅提包入住！1500元/月 民主公寓,2室2厅|87平米|3/7层甘雪峰 整租 朝南,1500 ,元/月
胜利街唐城附近粮食中转库家属院3楼 暂无小区,2室1厅|68平米|3/6层张明海 整租 南北,700 ,元/月
檀溪路国际商都，有洗衣机，空调，热水器，拎包入住 国际商都,1室1厅|55平米|3/3层程有哲 整租 南北,700 ,元/月
襄城西门桥 党校旁建行家属院 二楼精装小两房 家具家电齐全 建行檀溪支行家属院,2室2厅|80平米|2/6层贾锋 整租 南北,1800 ,元/月
檀溪路檀溪新居小高层电梯房家具家电齐全，拎包入住！ 檀溪新居,3室2厅|125平米|3/11层郭付亚 整租 南北,2000 ,元/月
万山轴承厂41中附近 精装修 拎包入住业主急租 轴承厂家属区,2室2厅|45平米|6/6层胡金凤 整租 南北,800 ,元/月
滨湖路小区精装修 二室二厅一卫家电齐全拎包入住 檀溪府邸,2室2厅|85平米|10/23层方辉 整租 南北,1700 ,元/月
荟苑小区 2室2厅1卫 荟苑小区,2室2厅|96平米|5/7层王秀华女士 整租 南北,1200 ,元/月
学府花园1室-1厅-1卫整租 学府花园,1室1厅|45平米|3/7层 整租 朝南,800 ,元/月
业主急租 檀溪府底精装2室电梯房 楼层好家私齐全 看房方便 檀溪府邸,2室2厅|84平米|5/26层秦萍萍 整租 南北,1600 ,元/月
安厦好房 檀溪恒大对面小区 两室精装家具家电齐全 看房方便 檀溪府邸,2室2厅|85平米|1/23层李莉 整租 南北,1900 ,元/月
安厦 襄城檀溪路恒大名都前面还建房 2室 精装 部分家具电梯 檀溪府邸,2室2厅|85平米|18/26层李莉 整租 南北,1500 ,元/月
安厦好房 檀溪新居两室简单家具 电梯房小区环境好 看房方便 檀溪新居,2室2厅|80平米|7/15层李莉 整租 南北,1200 ,元/月
安厦好房 环城东路荟苑小区 大两室精装家具家电齐全 看房方便 荟苑小区,2室2厅|92平米|3/7层李莉 整租 南北,1500 ,元/月
六化建一室一厅一厨一卫精装修52平方4 楼 暂无小区,1室1厅|55平米|4/5层汤琴 整租 朝南,1000 ,元/月
檀溪广电旁，精装三室，家具家电齐全 檀溪府邸,3室2厅|120平米|17/24层彭军芳 整租 朝南,2400 ,元/月
二桥头单位家属院，简装一居室 怡虹公寓,1室1厅|30平米|7/7层张珍 整租 南北,300 ,元/月
万山小区 1室0厅1卫 暂无小区,1室0厅|100平米|1/5层张先生 整租 朝南,2000 ,元/月
海容骧龙国际(公寓)2室-2厅-1卫整租 海容骧龙国际(公寓),2室2厅|93平米|20/21层 整租 南北,800 ,元/月
电梯二桥头 明园精装1室 家具家电齐 山水檀溪明园,1室1厅|50平米|7/9层丁月 整租 南北,1700 ,元/月
四中义教部步行五分 精装一室拎包入住 四中小学家属院,1室1厅|40平米|2/6层丁月 整租 南北,1500 ,元/月
鱼梁洲 锦绣家园 温馨两居室拎包入住物美价廉 锦绣家园,2室2厅|90平米|6/7层周东 整租 南北,1000 ,元/月
业主急租 万山轴承厂家属院61平2室 650每月急急急急 轴承厂家属区,2室2厅|62平米|4/6层秦萍萍 整租 南北,650 ,元/月
鼓楼十字街南街红花园实验昭明附近3室出租保养地好 红心家园,3室2厅|130平米|1/6层朱桂芳 整租 南北,1700 ,元/月
安厦好房襄城 美格丽芬 名人城市 山水檀溪明园 2室2厅1卫 山水檀溪明园,2室2厅|90平米|4/9层王春红 整租 南北,2600 ,元/月
恒大名都对面檀溪府低高档电梯精装大两房家电齐全拎包入住！！！ 檀溪府邸,2室2厅|92平米|14/27层庄坦 整租 南北,1700 ,元/月
好位子泰鑫公寓出租啦 中房泰鑫公寓,3室2厅|130平米|4/8层龚后兵 合租 南北,1800 ,元/月
四中义务教育部2室-2厅-1卫整租 四中小学家属院,2室2厅|86平米|5/6层 整租 朝南,3300 ,元/月
骧龙国际对面10楼2室-2厅-1卫整租 骧龙国际,2室2厅|75平米|10/17层 整租 南北,1000 ,元/月
鱼梁洲大两室 出租 环境好 空气好 鹿鸣岛花园春风苑,2室2厅|90平米|6/7层周冲 整租 朝南,1000 ,元/月
恒名都精装两室，家具家电齐全，拎包入住 恒大名都,2室2厅|91平米|23/32层吕亚兰 整租 南北,2300 ,元/月
六化建，一室一厅，三楼，两家共用卫生间，价格实惠 六化建家属楼,1室1厅|40平米|3/4层王秀莲 整租 南北,350 ,元/月
东门好房出租油脂小区3楼，2室2厅空调 电视 洗衣机拎包入住 油脂小区,2室1厅|68平米|3/6层崔贵波 整租 朝南,1350 ,元/月
檀溪路二桥头武商旁血站家属院，家具家电齐全。 檀溪路16号小区,2室1厅|83平米|5/7层彭军芳 整租 朝南,1400 ,元/月
山水檀溪明园附近 2楼 精装1室家电齐全拎包住1500每月 山水檀溪明园,1室1厅|50平米|2/6层汪亮 整租 南北,1500 ,元/月
山水檀溪明园附近步梯房 精装1室 家电齐全拎包住 1200 山水檀溪明园,1室1厅|35平米|3/6层汪亮 整租 南北,1200 ,元/月
山水檀溪明园附近步梯房 精装1室 家电齐全拎包住 1500 山水檀溪明园,1室1厅|50平米|3/6层汪亮 整租 南北,1500 ,元/月
檀溪路，新建小区，电梯房，家电齐全，拎包入住 檀溪府邸,2室2厅|87平米|4/26层程有哲 整租 南北,1500 ,元/月
万山轴承厂精装修 2室1厅 41中附近 轴承厂家属区,2室1厅|50平米|6/6层钟敏 整租 南北,800 ,元/月
安厦好房 东方小区两室精装修 楼层好 家具家电齐全 东方社区,2室2厅|80平米|12/15层张曼 整租 南北,1500 ,元/月
安厦好房 恒大一室精装修楼层好 家具家电齐全拎包入住 恒大名都,1室1厅|39平米|10/33层张曼 整租 南北,1600 ,元/月
得怡苑小区 2室1厅1卫 暂无小区,2室1厅|73平米|1/7层刘先生 整租 朝南,800 ,元/月
家乐福商圈建安小区电梯房大三室家具家电齐全 建安小区,3室2厅|115平米|10/26层黄珊珊 整租 南北,2600 ,元/月
万山轴承厂襄轴家属院2室 好楼层家私齐全 看房方便 轴承厂家属区,2室2厅|63平米|2/6层秦萍萍 整租 南北,650 ,元/月
安厦好房 檀溪中路学府花园附近小区 两室精装家具家电齐全 学府花园,2室2厅|90平米|2/7层李莉 整租 南北,2000 ,元/月
安厦好房 荆州街生活四区 两室家具家电齐全 看房方便 生活一区,2室2厅|78平米|5/6层李莉 整租 南北,1800 ,元/月
安厦好房 檀溪恒大名都对面小区 两室精装家具家电齐全看房方便 檀溪府邸,2室2厅|85平米|5/25层李莉 整租 南北,1800 ,元/月
安厦好房 檀溪恒大名都对面小区 三室家具家电齐全 看房方便 檀溪府邸,3室2厅|120平米|5/26层李莉 整租 南北,2500 ,元/月
安厦好房 东门口河畔林语两室精装家具家电齐全 有钥匙看房方便 庞公春晓,2室2厅|95平米|5/15层李莉 整租 南北,1500 ,元/月
檀溪路万山轴承厂旁宏伟厂家属院3室2厅带暖气41中附近 宏伟小区,3室2厅|89平米|5/5层钟敏 整租 南北,1000 ,元/月
鼓楼财局家属院 中间楼层 拎包入住停车方便 民安公寓,2室2厅|85平米|1/7层黄虹玲 整租 南北,1700 ,元/月
襄城春天1600元/月99平米2室2厅1卫1阳台精装，看房方 襄城春天,2室2厅|99平米|5/7层郭付亚 整租 南北,1600 ,元/月
柳林桥村 3室2厅2卫 暂无小区,3室2厅|120平米|1/4层康先生 整租 东西,2500 ,元/月
山水檀溪简装三居室，可拎包即住，价格可面议！ 山水檀溪山水家园,3室2厅|120平米|3/15层张珍 整租 南北,1300 ,元/月
万山小区 1室1厅1卫 暂无小区,1室1厅|40平米|3/4层张先生 整租 朝南,600 ,元/月
檀溪虎头山路 学府花园 精装3室 家具家电齐 随时入住 学府花园,3室2厅|115平米|6/8层张庆锋 整租 南北,2200 ,元/月
家乐福商圈 38中对面 电梯房 精装修 1室1厅 拎包入住 建安小区,1室1厅|57平米|10/20层陈红梅 整租 朝南,1400 ,元/月
檀溪路 檀溪新居 3室 好房出租 檀溪新居,3室2厅|137平米|3/14层刘亮 整租 南北,2000 ,元/月
襄城檀溪路名仕家天下 精装两室 家电齐全 拎包入住 名仕家天下,2室2厅|97平米|8/15层梁晶晶 整租 南北,2000 ,元/月
安厦好房 檀溪恒大名都对面小区 两室精装家具家电齐全看房方便 檀溪府邸,2室2厅|85平米|5/25层李莉 整租 南北,1800 ,元/月
司法局家属院 2室1厅1卫 司法局家属院,2室1厅|98平米|2/7层刘旭女士 整租 朝南,2100 ,元/月
安厦优选襄城东门口 河畔林语 庞公春晓一轻局2楼3楼精装干净 隆馨家园,2室2厅|69平米|3/6层王春红 整租 南北,1200 ,元/月
北门公寓4室-2厅-1卫整租 北门公寓,4室2厅|140平米|4/5层 整租 南北,3000 ,元/月
安廈 东方小区市政府对面 精装2房 家具家电齐全 拎包入住 东方社区,2室2厅|81平米|12/15层马思维 整租 南北,1550 ,元/月
襄轴花园2室-1厅-1卫整租 襄轴花园,2室1厅|70平米|6/7层 整租 南北,800 ,元/月
25中附近102一楼房子出租，热水器，柜子，床 暂无小区,2室1厅|50平米|1/4层窦凤英 整租 南北,1000 ,元/月
